trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
158,False,"{'a': 0.5, 'e': 0.20804518235702046}",20,1,9.84779902177597,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20597509820488344}",20,0,18.375918286721014,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20392561173421342}",30,12,-56.4986144034224,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
161,False,"{'a': 0.5, 'e': 0.20189651799465538}",25,10,16.94087485488918,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.1998876140751445}",25,12,21.31003283170547,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19789869908361465}",25,17,3.4352002352685753,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19592957412690934}",20,11,19.142740216675964,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19398004229089189}",25,5,18.210845549549376,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.19204990862075408}",25,5,11.948671813134153,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.1901389801015205}",20,7,22.8535384205667,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.1882470656387468}",20,16,5.198477608724605,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18637397603940997}",20,2,-57.60666191279789,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.18451952399298926}",20,0,3.8887454522807716,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.18268352405273466}",30,14,4.3184449695536165,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.1808657926171221}",25,18,6.289918657676242,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17906614791149322}",20,0,-50.328588074756475,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.17728440996987782}",30,22,5.748282354565176,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17552040061699686}",20,15,8.610259948171901,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17377394345044514}",35,21,24.966403959402573,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.17204486382305054}",25,0,-11.26096623665247,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.17033298882540943}",20,13,1.3755399722155255,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1686381472685955}",25,11,25.18672234453157,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.1669601696670407}",20,13,15.198470377358476,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16529888822158653}",20,5,13.630036863658159,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16365413680270405}",20,3,27.751808377706816,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
