trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'a': 0.5, 'e': 0.45384479528235583}",30,13,-14.928569411294829,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,0,-53.53789175082741,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.4448580662229411}",20,12,-36.4456278595246,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.44043165450599925}",25,0,-90.65552074457538,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.43604928632153556}",30,0,-45.05178950161546,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.43171052342907973}",25,3,-104.3955707633592,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 2}",1
86,False,"{'a': 0.5, 'e': 0.4274149319487267}",25,9,-65.6024735836364,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.4231620823177488}",20,15,-3.2131650991886476,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.418951549247639}",20,5,15.230772515133898,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.4147829116815814}",30,8,11.141397997905473,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4106557527523455}",25,16,11.157068498934496,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.4065696597405991}",30,2,-15.833725918410876,"{0: 25, 1: 2, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.40252422403363597}",20,8,-82.48755283854477,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
93,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,12,15.415147734388192,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3945537103716011}",25,0,-129.80707308968755,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.3906278353585211}",20,0,-102.07195714468408,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.3867410234545012}",30,8,31.001591678894084,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.38289288597511206}",20,8,-23.680717650203462,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37908303810339883}",20,0,26.205545553056538,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.37531109885139957}",30,0,-60.183523729933135,"{0: 25, 1: 3, 2: 0, 3: 0, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,0,-33.87967604981453,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,3,-156.0821805876411,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 4}",1
102,False,"{'a': 0.5, 'e': 0.3642189795715233}",20,0,4.389361320967719,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.3605949401730783}",30,18,-46.00323190570863,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.3570069605691474}",25,0,-71.69488683584925,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,12,5.90690158954407,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3499377491111553}",20,0,-15.298032241637435,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.3464558103300574}",25,17,2.3540585165551633,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.34300851741870664}",20,9,6.309614733275879,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.3395955256449391}",25,4,29.00568402853297,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
